Level,Area_km2,Volume_million_m3
-241.54,52.296543,336.14963
-241.55,52.254117,335.6055
-241.56,52.211709,335.06179
-241.57,52.169317,334.51851
-241.58,52.126942,333.97566
-241.59,52.084586,333.43324
-241.6,52.042248,332.89124
-241.61,51.999929,332.34967
-241.62,51.95763,331.80853
-241.63,51.915351,331.26781
-241.64,51.873093,330.72752
-241.65,51.830856,330.18766
-241.66,51.788641,329.64823
-241.67,51.746449,329.10923
-241.68,51.704279,328.57065
-241.69,51.662134,328.03251
-241.7,51.620012,327.49479
-241.71,51.577914,326.95751
-241.72,51.535842,326.42065
-241.73,51.493796,325.88422
-241.74,51.451776,325.34823
-241.75,51.409782,324.81266
-241.76,51.367817,324.27752
-241.77,51.325879,323.74282
-241.78,51.283969,323.20854
-241.79,51.242088,322.6747
-241.8,51.200238,322.14128
-241.81,51.158417,321.6083
-241.82,51.116627,321.07575
-241.83,51.074868,320.54363
-241.84,51.03314,320.01195
-241.85,50.991445,319.48069
-241.86,50.949783,318.94987
-241.87,50.908155,318.41948
-241.88,50.86656,317.88952
-241.89,50.825,317.36
-241.9,50.783475,316.83091
-241.91,50.741983,316.30225
-241.92,50.700523,315.77403
-241.93,50.659093,315.24623
-241.94,50.617693,314.71887
-241.95,50.57632,314.19194
-241.96,50.534973,313.66544
-241.97,50.493651,313.13937
-241.98,50.452351,312.61374
-241.99,50.411073,312.08853
-242,50.369815,311.56375
-242.01,50.328575,311.0394
-242.02,50.287351,310.51548
-242.03,50.246144,309.99199
-242.04,50.20495,309.46893
-242.05,50.163768,308.94629
-242.06,50.122597,308.42408
-242.07,50.081435,307.9023
-242.08,50.040281,307.38095
-242.09,49.999133,306.86002
-242.1,49.95799,306.33952
-242.11,49.916851,305.81944
-242.12,49.875712,305.29979
-242.13,49.834574,304.78056
-242.14,49.793435,304.26176
-242.15,49.752292,303.74339
-242.16,49.711146,303.22543
-242.17,49.669993,302.70791
-242.18,49.628833,302.1908
-242.19,49.587664,301.67412
